activity_id	case_id	timeline_dt	fk_d_vessel	vessel_id	vin	vessel_name	vessel_service	vessel_class	vessel_type	vessel_subtype	flag_desc	vessel_activity_role_desc	waterway_name	event_type	event_class	event_subclass	damage_status	latitude	longitude
4638580	643574	2013-06-29 13:05:00.0000000	9170258	562019	1125920	WILD SIDE	Passenger (Inspected)	Passenger Ship	Parasailing Vessel	General (More Than 6)	UNITED STATES	Involved in a Marine Casualty	ROANOKE SOUND	Vessel Maneuverability	Partial Reduction		Undamaged	35.967000000000000	-75.667500000000000
4638580	643574	2013-06-29 13:04:30.0000000	9170258	562019	1125920	WILD SIDE	Passenger (Inspected)	Passenger Ship	Parasailing Vessel	General (More Than 6)	UNITED STATES	Involved in a Marine Casualty	ROANOKE SOUND	Material Failure (Vessels)			Undamaged	35.967000000000000	-75.667500000000000
4637837	643495	2013-06-28 16:40:01.0000000	9238549	921405	1208466	GALVESTON	Towing Vessel	Towing Vessel	Articulated Tug and Barge (Tug)	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC DEEP WATER ACCESS	Vessel Maneuverability	Partial Reduction		Undamaged	33.621666666666700	-78.206666666666700
4637837	643495	2013-06-28 16:40:00.0000000	9238549	921405	1208466	GALVESTON	Towing Vessel	Towing Vessel	Articulated Tug and Barge (Tug)	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC DEEP WATER ACCESS	Material Failure (Vessels)			Undamaged	33.621666666666700	-78.206666666666700
4656296	646485	2013-07-17 01:10:00.0000000	8931369	131973	561502	BEAUFORT BELLE	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC INTRACOASTAL ACCESS	Vessel Maneuverability	Partial Reduction		Damaged	34.718310000000000	-76.695600000000000
4656296	646485	2013-07-17 02:01:00.0000000	8931369	131973	561502	BEAUFORT BELLE	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC INTRACOASTAL ACCESS	Grounding	Outside marked channel	Partial Control	Damaged	34.718310000000000	-76.695600000000000
4656296	646485	2013-07-17 02:00:00.0000000	8931369	131973	561502	BEAUFORT BELLE	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC INTRACOASTAL ACCESS	Vessel Maneuverability	Partial Reduction		Damaged	34.718310000000000	-76.695600000000000
4656296	646485	2013-07-17 01:11:00.0000000	8931369	131973	561502	BEAUFORT BELLE	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC INTRACOASTAL ACCESS	Grounding	Outside marked channel	Partial Control	Damaged	34.718310000000000	-76.695600000000000
4671481	649131	2013-07-02 18:00:00.0000000	8780822	5763	NC9262WJ	ISLAND FERRY ADVENTURES	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	BEAUFORT INLET	Loss of Stability	Other loss of stability	Other loss of stability	Undamaged	34.700740000000000	-76.676760000000000
4712066	655870	2013-09-09 10:10:00.0000000	9408542	408547	1023760	CEDAR ISLAND	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro Ferry (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	HATTERAS CHANNEL	Loss of Electrical Power	Partial Reduction		Undamaged	35.115123333333300	-75.986305000000000
4730299	658505	2013-10-02 12:30:00.0000000	9476344	244888	676194	PERSEVERANCE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Bandit Rigged	UNITED STATES	Moored/Anchored  in Vicinity of Primary Subject	ATLANTIC DEEP WATER SPUR	Emergency Response	Search and Rescue	Search Successful - Rescue successful	Undamaged	32.739150000000000	-79.845350000000000
4716054	656535	2013-09-14 06:20:02.0000000	9374011	637818	1145046	PATRIOT	Passenger (Inspected)	Passenger Ship	Ferry	Non Ro-Ro Ferry (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	CAPE FEAR RIVER ENTRANCE CHANNEL	Vessel Maneuverability	Partial Reduction		Undamaged	33.876795500000000	-78.000584833333300
4716054	656535	2013-09-14 06:20:01.0000000	9374011	637818	1145046	PATRIOT	Passenger (Inspected)	Passenger Ship	Ferry	Non Ro-Ro Ferry (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	CAPE FEAR RIVER ENTRANCE CHANNEL	Material Failure (Vessels)			Undamaged	33.876795500000000	-78.000584833333300
4717776	655047	2013-09-05 14:01:00.0000000	8958630	165704	600679	BETTY JO	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty		Grounding	In marked channel	Partial Control	Undamaged	34.365351000000000	-77.636979833333300
4670449	648091	2013-07-25 19:45:00.0000000	9485052	590048	1132593	ALLISON RAE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC DEEP WATER SPINE	Material Failure (Vessels)			Undamaged	35.814450000000000	-75.073730000000000
4733063	659553	2013-10-09 18:07:45.0000000	9408801	594163	1133333	W STANFORD WHITE	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro Ferry (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	HATTERAS CHANNEL	Evasive Maneuvers	Other vessel Manuever		Undamaged	35.192250000000000	-75.766600000000000
4638519	643567	2013-06-29 14:30:00.0000000	9408801	594163	1133333	W STANFORD WHITE	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro Ferry (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	HATTERAS CHANNEL	Grounding	In marked channel	Partial Control	Undamaged	35.198800000000000	-75.753700000000000
4624761	641431	2013-06-15 13:52:01.0000000	9408546	412378	1025834	THOMAS A BAUM	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro (More Than 12, Gross Tonnage >= 100)	UNITED STATES	Involved in a Marine Casualty	HATTERAS CHANNEL	Vessel Maneuverability	Partial Reduction		Damaged	35.209290000000000	-75.703540000000000
4653849	646064	2013-06-24 21:16:00.0000000	9066980	321300	665834	SJ-213	Freight Barge	Barge	General	General	UNITED STATES	Involved in a Marine Casualty		Allision	Broadside	Partial Control	Undamaged	34.275000000000000	-77.760000000000000
4624761	641431	2013-06-15 13:52:00.0000000	9408546	412378	1025834	THOMAS A BAUM	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro (More Than 12, Gross Tonnage >= 100)	UNITED STATES	Involved in a Marine Casualty	HATTERAS CHANNEL	Material Failure (Vessels)			Damaged	35.209290000000000	-75.703540000000000
4661202	647398	2013-06-02 11:30:00.0000000	8860751	44501	291942	CRYSTAL DAWN	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Material Failure (Vessels)			Undamaged	34.950970000000000	-76.235170000000000
4661202	647398	2013-06-02 11:36:00.0000000	8860751	44501	291942	CRYSTAL DAWN	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Vessel Maneuverability	Partial Reduction		Undamaged	34.950970000000000	-76.235170000000000
4661202	647398	2013-06-02 11:33:00.0000000	8860751	44501	291942	CRYSTAL DAWN	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Material Failure (Vessels)			Undamaged	34.950970000000000	-76.235170000000000
4803355	672178	2014-02-05 17:05:00.0000000	6954639	1052803	SC2484BG	FISHIN BUDDY	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Bandit Rigged	UNITED STATES	Involved in a Marine Casualty	MURRELLS INLET	Emergency Response	Fire-fighting Response		Actual Total Loss	33.540200000000000	-79.028683333333300
4803355	672178	2014-02-05 17:02:00.0000000	6954639	1052803	SC2484BG	FISHIN BUDDY	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Bandit Rigged	UNITED STATES	Involved in a Marine Casualty	MURRELLS INLET	Emergency Response	Fire-fighting Response		Actual Total Loss	33.540200000000000	-79.028683333333300
4803355	672178	2014-02-05 17:06:00.0000000	6954639	1052803	SC2484BG	FISHIN BUDDY	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Bandit Rigged	UNITED STATES	Involved in a Marine Casualty	MURRELLS INLET	Fire	Secondary - out of control		Actual Total Loss	33.540200000000000	-79.028683333333300
4803355	672178	2014-02-05 16:56:00.0000000	6954639	1052803	SC2484BG	FISHIN BUDDY	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Bandit Rigged	UNITED STATES	Involved in a Marine Casualty	MURRELLS INLET	Fire	Initial - contained		Actual Total Loss	33.540200000000000	-79.028683333333300
4653849	646064	2013-06-24 21:16:00.0000000	9432077	73421	274942	EVELYN DORIS	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty		Allision	Broadside	Partial Control	Undamaged	34.275000000000000	-77.760000000000000
4838128	677043	2014-04-10 02:30:00.0000000	6895929	993775	70513	MAGIC	Recreational	Recreational	Motor Propelled Vessels	Yacht, Luxury	MARSHALL ISLANDS	Involved in a Marine Casualty	ATLANTIC DEEP WATER SPINE	Material Failure (Vessels)			Damaged	35.231840000000000	-75.108080000000000
