i,j,artificialReefs,awoisWrecks,awoisObstructions,wrecksEnc,elevations,waveHeights,viirsA,smallBoatTraffic,aisTrafficDensity
0,101,nan,4.0,nan,2.0,5.0,2.55,-3.0,-1.2488298818115757,nan
0,102,nan,2.0,nan,nan,-11.0,2.78,-3.0,-0.7496150472738022,2.3010299956639813
1,98,nan,nan,nan,1.0,-2.0,1.99,-3.0,-2.2499925824442744,3.3935752032695876
1,102,nan,1.0,nan,1.0,-11.0,2.8,0.6130041119152151,-0.7255922317655457,2.739572344450092
1,106,nan,nan,nan,1.0,-23.0,3.72,-3.0,0.9342373323208608,2.593286067020457
1,114,nan,nan,1.0,nan,-27.0,5.04,0.41758627086443995,3.9532286201350377,2.8662873390841948
1,123,nan,1.0,nan,1.0,-93.0,6.27,-3.0,7.825587287364925,2.5171958979499744
2,80,nan,nan,nan,1.0,10.0,nan,-3.0,nan,nan
2,99,nan,nan,nan,1.0,-2.0,2.31,-3.0,-2.336966341657848,3.4838724542226736
2,104,nan,nan,nan,1.0,-16.0,3.47,-3.0,-0.1767766952966369,2.6444385894678386
2,107,nan,nan,nan,1.0,-22.0,4.16,-3.0,1.2174563090207278,2.187520720836463
2,120,nan,1.0,nan,1.0,-34.0,5.9,0.08093929423415865,6.243404092786971,2.444044795918076
3,100,nan,nan,nan,3.0,-2.0,2.75,-3.0,-2.0540638775769455,2.714329759745233
3,102,nan,1.0,nan,1.0,3.0,3.21,0.8830228652955366,-1.1734901761170136,1.7781512503836436
3,107,nan,nan,nan,1.0,-24.0,4.23,0.7906664864426102,1.2481491715860766,2.403120521175818
3,108,nan,1.0,nan,nan,-24.0,4.23,0.6150047053972448,1.6269197047266846,2.167317334748176
3,110,nan,1.0,nan,nan,-24.0,4.53,-3.0,1.985849233378926,2.7323937598229686
3,111,nan,nan,nan,1.0,-28.0,4.7,-3.0,2.2327840452049985,2.574031267727719
3,120,nan,1.0,nan,nan,-42.0,5.94,0.25243065819680377,6.084384525998051,2.4727564493172123
4,99,nan,nan,nan,1.0,4.0,2.73,-3.0,-2.2480680082189934,3.2380461031287955
4,100,nan,nan,nan,2.0,8.0,2.96,-3.0,-2.114097541370666,3.1832698436828046
4,102,nan,2.0,nan,nan,-2.0,3.42,0.9820133063331736,-1.2445839598556412,0.8450980400142568
4,120,nan,2.0,nan,nan,-43.0,5.98,-3.0,5.947426049114426,2.4983105537896004
5,94,nan,nan,nan,19.0,5.0,2.82,-3.0,-0.25,2.3404441148401185
